NCBI.GeneID	ySmbol	Description	Taxonomic.Name	Common.Name	Gene.Type	Transcripts	Gene.Group.Identifier	Gene.Group.Method
12346	Car1	carbonic anhydrase 1	Mus musculus	house mouse	PROTEIN_CODING	3	759	NCBI Ortholog
12395	Runx1t1	RUNX1 translocation partner 1	Mus musculus	house mouse	PROTEIN_CODING	12	862	NCBI Ortholog
12398	Cbfa2t3	CBFA2/RUNX1 translocation partner 3	Mus musculus	house mouse	PROTEIN_CODING	13	863	NCBI Ortholog
12401	Serpina6	serine (or cysteine) peptidase inhibitor, clade A, member 6	Mus musculus	house mouse	PROTEIN_CODING	1	866	NCBI Ortholog
12442	Ccnb2	cyclin B2	Mus musculus	house mouse	PROTEIN_CODING	1	9133	NCBI Ortholog
12455	Ccnt1	cyclin T1	Mus musculus	house mouse	PROTEIN_CODING	4	904	NCBI Ortholog
12457	Noct	nocturnin	Mus musculus	house mouse	PROTEIN_CODING	2	25819	NCBI Ortholog
12460	Ccs	copper chaperone for superoxide dismutase	Mus musculus	house mouse	PROTEIN_CODING	2	9973	NCBI Ortholog
12462	Cct3	chaperonin containing TCP1 subunit 3	Mus musculus	house mouse	PROTEIN_CODING	1	7203	NCBI Ortholog
12496	Entpd2	ectonucleoside triphosphate diphosphohydrolase 2	Mus musculus	house mouse	PROTEIN_CODING	1	954	NCBI Ortholog
12511	Cd6	CD6 antigen	Mus musculus	house mouse	PROTEIN_CODING	4	923	NCBI Ortholog
12512	Cd63	CD63 antigen	Mus musculus	house mouse	PROTEIN_CODING	8	967	NCBI Ortholog
12521	Cd82	CD82 antigen	Mus musculus	house mouse	PROTEIN_CODING	7	3732	NCBI Ortholog
12523	Cd84	CD84 antigen	Mus musculus	house mouse	PROTEIN_CODING	5	8832	NCBI Ortholog
12532	Cdc25c	cell division cycle 25C	Mus musculus	house mouse	PROTEIN_CODING	6	995	NCBI Ortholog
12570	Cdk5r2	cyclin dependent kinase 5, regulatory subunit 2	Mus musculus	house mouse	PROTEIN_CODING	1	8941	NCBI Ortholog
12572	Cdk7	cyclin dependent kinase 7	Mus musculus	house mouse	PROTEIN_CODING	1	1022	NCBI Ortholog
12587	Mia	MIA SH3 domain containing	Mus musculus	house mouse	PROTEIN_CODING	1	8190	NCBI Ortholog
12611	Cebpg	CCAAT/enhancer binding protein gamma	Mus musculus	house mouse	PROTEIN_CODING	1	1054	NCBI Ortholog
12613	Cel	carboxyl ester lipase	Mus musculus	house mouse	PROTEIN_CODING	1	1056	NCBI Ortholog
12615	Cenpa	centromere protein A	Mus musculus	house mouse	PROTEIN_CODING	14	1058	NCBI Ortholog
12616	Cenpb	centromere protein B	Mus musculus	house mouse	PROTEIN_CODING	1	1059	NCBI Ortholog
12627	Cfc1	cryptic, EGF-CFC family member 1	Mus musculus	house mouse	PROTEIN_CODING	2	55997	NCBI Ortholog
12632	Cfl2	cofilin 2, muscle	Mus musculus	house mouse	PROTEIN_CODING	2	1073	NCBI Ortholog
12686	Elovl3	ELOVL fatty acid elongase 3	Mus musculus	house mouse	PROTEIN_CODING	2	83401	NCBI Ortholog
12704	Cit	citron	Mus musculus	house mouse	PROTEIN_CODING	38	11113	NCBI Ortholog
12722	Clca3a1	chloride channel accessory 3A1	Mus musculus	house mouse	PROTEIN_CODING	6	NA	
12745	Clgn	calmegin	Mus musculus	house mouse	PROTEIN_CODING	10	1047	NCBI Ortholog
12747	Clk1	CDC-like kinase 1	Mus musculus	house mouse	PROTEIN_CODING	3	1195	NCBI Ortholog
12777	Ccr10	C-C motif chemokine receptor 10	Mus musculus	house mouse	PROTEIN_CODING	1	2826	NCBI Ortholog
12785	Cnbp	cellular nucleic acid binding protein	Mus musculus	house mouse	PROTEIN_CODING	5	7555	NCBI Ortholog
12788	Cnga1	cyclic nucleotide gated channel alpha 1	Mus musculus	house mouse	PROTEIN_CODING	2	1259	NCBI Ortholog
12810	Coch	cochlin	Mus musculus	house mouse	PROTEIN_CODING	11	1690	NCBI Ortholog
12816	Col12a1	collagen, type XII, alpha 1	Mus musculus	house mouse	PROTEIN_CODING	3	1303	NCBI Ortholog
12817	Col13a1	collagen, type XIII, alpha 1	Mus musculus	house mouse	PROTEIN_CODING	28	1305	NCBI Ortholog
12819	Col15a1	collagen, type XV, alpha 1	Mus musculus	house mouse	PROTEIN_CODING	2	1306	NCBI Ortholog
12829	Col4a4	collagen, type IV, alpha 4	Mus musculus	house mouse	PROTEIN_CODING	3	1286	NCBI Ortholog
12832	Col5a2	collagen, type V, alpha 2	Mus musculus	house mouse	PROTEIN_CODING	1	1290	NCBI Ortholog
12834	Col6a2	collagen, type VI, alpha 2	Mus musculus	house mouse	PROTEIN_CODING	2	1292	NCBI Ortholog
12835	Col6a3	collagen, type VI, alpha 3	Mus musculus	house mouse	PROTEIN_CODING	6	1293	NCBI Ortholog
12850	Coq7	demethyl-Q 7	Mus musculus	house mouse	PROTEIN_CODING	4	10229	NCBI Ortholog
12858	Cox5a	cytochrome c oxidase subunit 5A	Mus musculus	house mouse	PROTEIN_CODING	3	9377	NCBI Ortholog
12892	Cpox	coproporphyrinogen oxidase	Mus musculus	house mouse	PROTEIN_CODING	1	1371	NCBI Ortholog
12908	Crat	carnitine acetyltransferase	Mus musculus	house mouse	PROTEIN_CODING	15	1384	NCBI Ortholog
12913	Creb3	cAMP responsive element binding protein 3	Mus musculus	house mouse	PROTEIN_CODING	1	10488	NCBI Ortholog
12945	Dmbt1	deleted in malignant brain tumors 1	Mus musculus	house mouse	PROTEIN_CODING	11	1755	NCBI Ortholog
12960	Crybb1	crystallin, beta B1	Mus musculus	house mouse	PROTEIN_CODING	5	1414	NCBI Ortholog
12964	Cryga	crystallin, gamma A	Mus musculus	house mouse	PROTEIN_CODING	1	1418	NCBI Ortholog
12965	Crygb	crystallin, gamma B	Mus musculus	house mouse	PROTEIN_CODING	1	1419	NCBI Ortholog
12967	Crygd	crystallin, gamma D	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
12969	Crygf	crystallin, gamma F	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
12971	Crym	crystallin, mu	Mus musculus	house mouse	PROTEIN_CODING	1	1428	NCBI Ortholog
12982	Csf2ra	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	Mus musculus	house mouse	PROTEIN_CODING	14	NA	
13006	Smc3	structural maintenance of chromosomes 3	Mus musculus	house mouse	PROTEIN_CODING	1	9126	NCBI Ortholog
13008	Csrp2	cysteine and glycine-rich protein 2	Mus musculus	house mouse	PROTEIN_CODING	1	1466	NCBI Ortholog
13012	Cst8	cystatin 8 (cystatin-related epididymal spermatogenic)	Mus musculus	house mouse	PROTEIN_CODING	3	10047	NCBI Ortholog
13095	Cyp2c29	cytochrome P450, family 2, subfamily c, polypeptide 29	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
13107	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	Mus musculus	house mouse	PROTEIN_CODING	1	1572	NCBI Ortholog
13117	Cyp4a10	cytochrome P450, family 4, subfamily a, polypeptide 10	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
13124	Cyp8b1	cytochrome P450, family 8, subfamily b, polypeptide 1	Mus musculus	house mouse	PROTEIN_CODING	1	1582	NCBI Ortholog
13169	Dbnl	drebrin-like	Mus musculus	house mouse	PROTEIN_CODING	4	28988	NCBI Ortholog
13196	Asap1	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	Mus musculus	house mouse	PROTEIN_CODING	19	50807	NCBI Ortholog
13205	Ddx3x	DEAD box helicase 3, X-linked	Mus musculus	house mouse	PROTEIN_CODING	1	1654	NCBI Ortholog
13209	Ddx6	DEAD-box helicase 6	Mus musculus	house mouse	PROTEIN_CODING	7	1656	NCBI Ortholog
13214	Defb1	defensin beta 1	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
13238	Defa4	defensin, alpha, 4	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
13244	Degs1	delta 4-desaturase, sphingolipid 1	Mus musculus	house mouse	PROTEIN_CODING	2	8560	NCBI Ortholog
13347	Dffa	DNA fragmentation factor, alpha subunit	Mus musculus	house mouse	PROTEIN_CODING	3	1676	NCBI Ortholog
13368	Dffb	DNA fragmentation factor, beta subunit	Mus musculus	house mouse	PROTEIN_CODING	6	1677	NCBI Ortholog
13370	Dio1	deiodinase, iodothyronine, type I	Mus musculus	house mouse	PROTEIN_CODING	1	1733	NCBI Ortholog
13423	Dnase2a	deoxyribonuclease II alpha	Mus musculus	house mouse	PROTEIN_CODING	3	1777	NCBI Ortholog
13426	Dync1i1	dynein cytoplasmic 1 intermediate chain 1	Mus musculus	house mouse	PROTEIN_CODING	11	1780	NCBI Ortholog
13447	Doc2b	double C2, beta	Mus musculus	house mouse	PROTEIN_CODING	1	8447	NCBI Ortholog
13496	Arid3a	AT-rich interaction domain 3A	Mus musculus	house mouse	PROTEIN_CODING	5	1820	NCBI Ortholog
13521	Slc26a2	solute carrier family 26 (sulfate transporter), member 2	Mus musculus	house mouse	PROTEIN_CODING	1	1836	NCBI Ortholog
13559	E2f5	E2F transcription factor 5	Mus musculus	house mouse	PROTEIN_CODING	2	1875	NCBI Ortholog
13560	E4f1	E4F transcription factor 1	Mus musculus	house mouse	PROTEIN_CODING	7	1877	NCBI Ortholog
13593	Ebf3	early B cell factor 3	Mus musculus	house mouse	PROTEIN_CODING	31	253738	NCBI Ortholog
13601	Ecm1	extracellular matrix protein 1	Mus musculus	house mouse	PROTEIN_CODING	38	1893	NCBI Ortholog
13605	Ect2	ect2 oncogene	Mus musculus	house mouse	PROTEIN_CODING	26	1894	NCBI Ortholog
13611	S1pr4	sphingosine-1-phosphate receptor 4	Mus musculus	house mouse	PROTEIN_CODING	1	8698	NCBI Ortholog
13619	Phc1	polyhomeotic 1	Mus musculus	house mouse	PROTEIN_CODING	16	1911	NCBI Ortholog
13639	Efna4	ephrin A4	Mus musculus	house mouse	PROTEIN_CODING	1	1945	NCBI Ortholog
13660	Ehd1	EH-domain containing 1	Mus musculus	house mouse	PROTEIN_CODING	1	10938	NCBI Ortholog
13664	Eif1a	eukaryotic translation initiation factor 1A	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
13681	Eif4a1	eukaryotic translation initiation factor 4A1	Mus musculus	house mouse	PROTEIN_CODING	2	1973	NCBI Ortholog
13709	Elf1	E74 like ETS transcription factor 1	Mus musculus	house mouse	PROTEIN_CODING	8	1997	NCBI Ortholog
13710	Elf3	E74-like factor 3	Mus musculus	house mouse	PROTEIN_CODING	2	1999	NCBI Ortholog
13713	Elk3	ELK3, member of ETS oncogene family	Mus musculus	house mouse	PROTEIN_CODING	5	2004	NCBI Ortholog
13808	Eno3	enolase 3, beta muscle	Mus musculus	house mouse	PROTEIN_CODING	9	2027	NCBI Ortholog
13822	Epb41l2	erythrocyte membrane protein band 4.1 like 2	Mus musculus	house mouse	PROTEIN_CODING	75	2037	NCBI Ortholog
13828	Epb42	erythrocyte membrane protein band 4.2	Mus musculus	house mouse	PROTEIN_CODING	2	2038	NCBI Ortholog
13830	Stom	stomatin	Mus musculus	house mouse	PROTEIN_CODING	1	2040	NCBI Ortholog
13835	Epha1	Eph receptor A1	Mus musculus	house mouse	PROTEIN_CODING	2	2041	NCBI Ortholog
13840	Epha6	Eph receptor A6	Mus musculus	house mouse	PROTEIN_CODING	3	285220	NCBI Ortholog
13842	Epha8	Eph receptor A8	Mus musculus	house mouse	PROTEIN_CODING	5	2046	NCBI Ortholog
13863	Lcn5	lipocalin 5	Mus musculus	house mouse	PROTEIN_CODING	8	13863	NCBI Ortholog
13864	Nr2f6	nuclear receptor subfamily 2, group F, member 6	Mus musculus	house mouse	PROTEIN_CODING	5	2063	NCBI Ortholog
13885	Esd	esterase D/formylglutathione hydrolase	Mus musculus	house mouse	PROTEIN_CODING	4	2098	NCBI Ortholog
13897	Ces1e	carboxylesterase 1E	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
14026	Evl	Ena-vasodilator stimulated phosphoprotein	Mus musculus	house mouse	PROTEIN_CODING	7	51466	NCBI Ortholog
14029	Evx2	even-skipped homeobox 2	Mus musculus	house mouse	PROTEIN_CODING	3	344191	NCBI Ortholog
140477	Dmbx1	diencephalon/mesencephalon homeobox 1	Mus musculus	house mouse	PROTEIN_CODING	7	127343	NCBI Ortholog
14049	Eya2	EYA transcriptional coactivator and phosphatase 2	Mus musculus	house mouse	PROTEIN_CODING	5	2139	NCBI Ortholog
140498	Rxfp2	relaxin/insulin-like family peptide receptor 2	Mus musculus	house mouse	PROTEIN_CODING	8	122042	NCBI Ortholog
14057	Sfxn1	sideroflexin 1	Mus musculus	house mouse	PROTEIN_CODING	17	94081	NCBI Ortholog
140570	Plxnb2	plexin B2	Mus musculus	house mouse	PROTEIN_CODING	17	23654	NCBI Ortholog
140580	Elmo1	engulfment and cell motility 1	Mus musculus	house mouse	PROTEIN_CODING	8	9844	NCBI Ortholog
14064	F2rl2	coagulation factor II thrombin receptor like 2	Mus musculus	house mouse	PROTEIN_CODING	1	2151	NCBI Ortholog
140795	P2ry14	purinergic receptor P2Y, G-protein coupled, 14	Mus musculus	house mouse	PROTEIN_CODING	8	9934	NCBI Ortholog
14084	Faf1	Fas-associated factor 1	Mus musculus	house mouse	PROTEIN_CODING	5	11124	NCBI Ortholog
140858	Wdr5	WD repeat domain 5	Mus musculus	house mouse	PROTEIN_CODING	2	11091	NCBI Ortholog
14105	Srsf10	serine and arginine-rich splicing factor 10	Mus musculus	house mouse	PROTEIN_CODING	7	10772	NCBI Ortholog
14106	Foxh1	forkhead box H1	Mus musculus	house mouse	PROTEIN_CODING	2	8928	NCBI Ortholog
14109	Fau	FAU ubiquitin like and ribosomal protein S30 fusion	Mus musculus	house mouse	PROTEIN_CODING	3	2197	NCBI Ortholog
14113	Fbl	fibrillarin	Mus musculus	house mouse	PROTEIN_CODING	2	2091	NCBI Ortholog
14126	Ms4a2	membrane-spanning 4-domains, subfamily A, member 2	Mus musculus	house mouse	PROTEIN_CODING	5	2206	NCBI Ortholog
14137	Fdft1	farnesyl diphosphate farnesyl transferase 1	Mus musculus	house mouse	PROTEIN_CODING	5	2222	NCBI Ortholog
14167	Fgf12	fibroblast growth factor 12	Mus musculus	house mouse	PROTEIN_CODING	5	2257	NCBI Ortholog
14194	Fh1	fumarate hydratase 1	Mus musculus	house mouse	PROTEIN_CODING	1	2271	NCBI Ortholog
14204	Il4i1	interleukin 4 induced 1	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
14238	Foxf2	forkhead box F2	Mus musculus	house mouse	PROTEIN_CODING	1	2295	NCBI Ortholog
14252	Flot2	flotillin 2	Mus musculus	house mouse	PROTEIN_CODING	12	2319	NCBI Ortholog
14262	Fmo3	flavin containing monooxygenase 3	Mus musculus	house mouse	PROTEIN_CODING	1	2328	NCBI Ortholog
14276	Folr2	folate receptor beta	Mus musculus	house mouse	PROTEIN_CODING	3	2350	NCBI Ortholog
14299	Ncs1	neuronal calcium sensor 1	Mus musculus	house mouse	PROTEIN_CODING	3	23413	NCBI Ortholog
14325	Ftl1	ferritin light polypeptide 1	Mus musculus	house mouse	PROTEIN_CODING	1	2512	NCBI Ortholog
14343	Fut1	fucosyltransferase 1	Mus musculus	house mouse	PROTEIN_CODING	3	2523	NCBI Ortholog
14371	Fzd9	frizzled class receptor 9	Mus musculus	house mouse	PROTEIN_CODING	1	8326	NCBI Ortholog
14373	G0s2	G0/G1 switch gene 2	Mus musculus	house mouse	PROTEIN_CODING	1	50486	NCBI Ortholog
14385	Slc37a4	solute carrier family 37 (glucose-6-phosphate transporter), member 4	Mus musculus	house mouse	PROTEIN_CODING	13	2542	NCBI Ortholog
14400	Gabrb1	gamma-aminobutyric acid type A receptor subunit beta 1	Mus musculus	house mouse	PROTEIN_CODING	2	2560	NCBI Ortholog
14405	Gabrg1	gamma-aminobutyric acid type A receptor subunit gamma 1	Mus musculus	house mouse	PROTEIN_CODING	7	2565	NCBI Ortholog
14408	Gabrr1	gamma-aminobutyric acid type A receptor subunit rho 1	Mus musculus	house mouse	PROTEIN_CODING	3	2569	NCBI Ortholog
14425	Galnt3	polypeptide N-acetylgalactosaminyltransferase 3	Mus musculus	house mouse	PROTEIN_CODING	2	2591	NCBI Ortholog
14430	Galt	galactose-1-phosphate uridyl transferase	Mus musculus	house mouse	PROTEIN_CODING	10	2592	NCBI Ortholog
14431	Gamt	guanidinoacetate methyltransferase	Mus musculus	house mouse	PROTEIN_CODING	2	2593	NCBI Ortholog
14457	Gas7	growth arrest specific 7	Mus musculus	house mouse	PROTEIN_CODING	14	8522	NCBI Ortholog
14468	Gbp2b	guanylate binding protein 2b	Mus musculus	house mouse	PROTEIN_CODING	3	NA	
14473	Gc	vitamin D binding protein	Mus musculus	house mouse	PROTEIN_CODING	1	2638	NCBI Ortholog
14559	Gdf1	growth differentiation factor 1	Mus musculus	house mouse	PROTEIN_CODING	2	2657	NCBI Ortholog
14560	Gdf10	growth differentiation factor 10	Mus musculus	house mouse	PROTEIN_CODING	1	2662	NCBI Ortholog
14567	Gdi1	GDP dissociation inhibitor 1	Mus musculus	house mouse	PROTEIN_CODING	1	2664	NCBI Ortholog
14583	Gfpt1	glutamine fructose-6-phosphate transaminase 1	Mus musculus	house mouse	PROTEIN_CODING	2	2673	NCBI Ortholog
14587	Gfra3	glial cell line derived neurotrophic factor family receptor alpha 3	Mus musculus	house mouse	PROTEIN_CODING	1	2676	NCBI Ortholog
14610	Gja10	gap junction protein, alpha 10	Mus musculus	house mouse	PROTEIN_CODING	1	84694	NCBI Ortholog
14628	Ostm1	osteopetrosis associated transmembrane protein 1	Mus musculus	house mouse	PROTEIN_CODING	1	28962	NCBI Ortholog
14635	Galk1	galactokinase 1	Mus musculus	house mouse	PROTEIN_CODING	1	2584	NCBI Ortholog
14663	Glycam1	glycosylation dependent cell adhesion molecule 1	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
14712	Gnpat	glyceronephosphate O-acyltransferase	Mus musculus	house mouse	PROTEIN_CODING	1	8443	NCBI Ortholog
14719	Got2	glutamatic-oxaloacetic transaminase 2, mitochondrial	Mus musculus	house mouse	PROTEIN_CODING	1	2806	NCBI Ortholog
14733	Gpc1	glypican 1	Mus musculus	house mouse	PROTEIN_CODING	2	2817	NCBI Ortholog
14735	Gpc4	glypican 4	Mus musculus	house mouse	PROTEIN_CODING	2	2239	NCBI Ortholog
14748	Gpr3	G-protein coupled receptor 3	Mus musculus	house mouse	PROTEIN_CODING	1	2827	NCBI Ortholog
14776	Gpx2	glutathione peroxidase 2	Mus musculus	house mouse	PROTEIN_CODING	1	2877	NCBI Ortholog
14780	Gpx5	glutathione peroxidase 5	Mus musculus	house mouse	PROTEIN_CODING	2	2880	NCBI Ortholog
14792	Lpcat3	lysophosphatidylcholine acyltransferase 3	Mus musculus	house mouse	PROTEIN_CODING	6	10162	NCBI Ortholog
14797	Tle5	TLE family member 5, transcriptional modulator	Mus musculus	house mouse	PROTEIN_CODING	3	166	NCBI Ortholog
14807	Grik3	glutamate receptor, ionotropic, kainate 3	Mus musculus	house mouse	PROTEIN_CODING	4	2899	NCBI Ortholog
14809	Grik5	glutamate receptor, ionotropic, kainate 5 (gamma 2)	Mus musculus	house mouse	PROTEIN_CODING	15	2901	NCBI Ortholog
14842	Gsx1	GS homeobox 1	Mus musculus	house mouse	PROTEIN_CODING	1	219409	NCBI Ortholog
14857	Gsta1	glutathione S-transferase, alpha 1 (Ya)	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
14862	Gstm1	glutathione S-transferase, mu 1	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
14924	Magi1	membrane associated guanylate kinase, WW and PDZ domain containing 1	Mus musculus	house mouse	PROTEIN_CODING	67	9223	NCBI Ortholog
14933	Gk	glycerol kinase	Mus musculus	house mouse	PROTEIN_CODING	8	2710	NCBI Ortholog
14950	H13	histocompatibility 13	Mus musculus	house mouse	PROTEIN_CODING	9	81502	NCBI Ortholog
14957	H1f3	H1.3 linker histone, cluster member	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
14977	Slc39a7	solute carrier family 39 (zinc transporter), member 7	Mus musculus	house mouse	PROTEIN_CODING	2	7922	NCBI Ortholog
15002	H2-Ob	histocompatibility 2, O region beta locus	Mus musculus	house mouse	PROTEIN_CODING	2	3112	NCBI Ortholog
15006	H2-Q1	histocompatibility 2, Q region locus 1	Mus musculus	house mouse	PROTEIN_CODING	13	NA	
15043	H2-T3	histocompatibility 2, T region locus 3	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
15081	H3f3b	H3.3 histone B	Mus musculus	house mouse	PROTEIN_CODING	2	3021	NCBI Ortholog
15101	H60a	histocompatibility 60a	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
15109	Hal	histidine ammonia lyase	Mus musculus	house mouse	PROTEIN_CODING	1	3034	NCBI Ortholog
15116	Has1	hyaluronan synthase 1	Mus musculus	house mouse	PROTEIN_CODING	1	3036	NCBI Ortholog
15118	Has3	hyaluronan synthase 3	Mus musculus	house mouse	PROTEIN_CODING	4	3038	NCBI Ortholog
15161	Hcfc1	host cell factor C1	Mus musculus	house mouse	PROTEIN_CODING	4	3054	NCBI Ortholog
15163	Hcls1	hematopoietic cell specific Lyn substrate 1	Mus musculus	house mouse	PROTEIN_CODING	1	3059	NCBI Ortholog
15191	Hdgf	heparin binding growth factor	Mus musculus	house mouse	PROTEIN_CODING	14	3068	NCBI Ortholog
15207	Hes3	hes family bHLH transcription factor 3	Mus musculus	house mouse	PROTEIN_CODING	13	390992	NCBI Ortholog
15220	Foxq1	forkhead box Q1	Mus musculus	house mouse	PROTEIN_CODING	1	94234	NCBI Ortholog
15284	Hlx	H2.0-like homeobox	Mus musculus	house mouse	PROTEIN_CODING	1	3142	NCBI Ortholog
15360	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	Mus musculus	house mouse	PROTEIN_CODING	1	3158	NCBI Ortholog
15371	Hmx1	H6 homeobox 1	Mus musculus	house mouse	PROTEIN_CODING	3	3166	NCBI Ortholog
15384	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B	Mus musculus	house mouse	PROTEIN_CODING	2	3182	NCBI Ortholog
15388	Hnrnpl	heterogeneous nuclear ribonucleoprotein L	Mus musculus	house mouse	PROTEIN_CODING	15	3191	NCBI Ortholog
15403	Hoxa6	homeobox A6	Mus musculus	house mouse	PROTEIN_CODING	1	3203	NCBI Ortholog
15408	Hoxb13	homeobox B13	Mus musculus	house mouse	PROTEIN_CODING	1	10481	NCBI Ortholog
15422	Hoxc13	homeobox C13	Mus musculus	house mouse	PROTEIN_CODING	1	3229	NCBI Ortholog
15423	Hoxc4	homeobox C4	Mus musculus	house mouse	PROTEIN_CODING	6	3221	NCBI Ortholog
15424	Hoxc5	homeobox C5	Mus musculus	house mouse	PROTEIN_CODING	1	3222	NCBI Ortholog
15429	Hoxd1	homeobox D1	Mus musculus	house mouse	PROTEIN_CODING	1	3231	NCBI Ortholog
15444	Hpca	hippocalcin	Mus musculus	house mouse	PROTEIN_CODING	15	3208	NCBI Ortholog
15445	Hpd	4-hydroxyphenylpyruvic acid dioxygenase	Mus musculus	house mouse	PROTEIN_CODING	1	3242	NCBI Ortholog
15451	Hpn	hepsin	Mus musculus	house mouse	PROTEIN_CODING	3	3249	NCBI Ortholog
15482	Hspa1l	heat shock protein 1-like	Mus musculus	house mouse	PROTEIN_CODING	1	3305	NCBI Ortholog
15502	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	Mus musculus	house mouse	PROTEIN_CODING	3	3301	NCBI Ortholog
15525	Hspa4	heat shock protein 4	Mus musculus	house mouse	PROTEIN_CODING	1	3308	NCBI Ortholog
15569	Elavl2	ELAV like RNA binding protein 1	Mus musculus	house mouse	PROTEIN_CODING	61	1993	NCBI Ortholog
15586	Hyal1	hyaluronoglucosaminidase 1	Mus musculus	house mouse	PROTEIN_CODING	2	3373	NCBI Ortholog
15587	Hyal2	hyaluronoglucosaminidase 2	Mus musculus	house mouse	PROTEIN_CODING	5	8692	NCBI Ortholog
15958	Ifit2	interferon-induced protein with tetratricopeptide repeats 2	Mus musculus	house mouse	PROTEIN_CODING	4	3433	NCBI Ortholog
15982	Ifrd1	interferon-related developmental regulator 1	Mus musculus	house mouse	PROTEIN_CODING	6	3475	NCBI Ortholog
16005	Igfals	insulin-like growth factor binding protein, acid labile subunit	Mus musculus	house mouse	PROTEIN_CODING	3	3483	NCBI Ortholog
16170	Il16	interleukin 16	Mus musculus	house mouse	PROTEIN_CODING	9	3603	NCBI Ortholog
16180	Il1rap	interleukin 1 receptor accessory protein	Mus musculus	house mouse	PROTEIN_CODING	7	3556	NCBI Ortholog
16199	Il9r	interleukin 9 receptor	Mus musculus	house mouse	PROTEIN_CODING	9	3581	NCBI Ortholog
16201	Ilf3	interleukin enhancer binding factor 3	Mus musculus	house mouse	PROTEIN_CODING	54	3609	NCBI Ortholog
16204	Fabp6	fatty acid binding protein 6	Mus musculus	house mouse	PROTEIN_CODING	1	2172	NCBI Ortholog
16365	Acod1	aconitate decarboxylase 1	Mus musculus	house mouse	PROTEIN_CODING	1	730249	NCBI Ortholog
16371	Irx1	Iroquois homeobox 1	Mus musculus	house mouse	PROTEIN_CODING	2	79192	NCBI Ortholog
16372	Irx2	Iroquois homeobox 2	Mus musculus	house mouse	PROTEIN_CODING	2	153572	NCBI Ortholog
16432	Itm2b	integral membrane protein 2B	Mus musculus	house mouse	PROTEIN_CODING	1	9445	NCBI Ortholog
16470	Ush1g	USH1 protein network component sans	Mus musculus	house mouse	PROTEIN_CODING	2	124590	NCBI Ortholog
16483	Kap	kidney androgen regulated protein	Mus musculus	house mouse	PROTEIN_CODING	1	NA	
16498	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	Mus musculus	house mouse	PROTEIN_CODING	21	8514	NCBI Ortholog
16504	Kcnc3	potassium voltage gated channel, Shaw-related subfamily, member 3	Mus musculus	house mouse	PROTEIN_CODING	44	3748	NCBI Ortholog
16510	Kcnh1	potassium voltage-gated channel, subfamily H (eag-related), member 1	Mus musculus	house mouse	PROTEIN_CODING	5	3756	NCBI Ortholog
16525	Kcnk1	potassium channel, subfamily K, member 1	Mus musculus	house mouse	PROTEIN_CODING	2	3775	NCBI Ortholog
16532	Kcnu1	potassium channel, subfamily U, member 1	Mus musculus	house mouse	PROTEIN_CODING	7	157855	NCBI Ortholog
16545	Kera	keratocan	Mus musculus	house mouse	PROTEIN_CODING	2	11081	NCBI Ortholog
16559	Kif17	kinesin family member 17	Mus musculus	house mouse	PROTEIN_CODING	2	57576	NCBI Ortholog
16560	Kif1a	kinesin family member 1A	Mus musculus	house mouse	PROTEIN_CODING	13	547	NCBI Ortholog
16561	Kif1b	kinesin family member 1B	Mus musculus	house mouse	PROTEIN_CODING	22	23095	NCBI Ortholog
16563	Kif2a	kinesin family member 2A	Mus musculus	house mouse	PROTEIN_CODING	11	3796	NCBI Ortholog
16569	Kif3b	kinesin family member 3B	Mus musculus	house mouse	PROTEIN_CODING	2	9371	NCBI Ortholog
16571	Kif4	kinesin family member 4	Mus musculus	house mouse	PROTEIN_CODING	4	24137	NCBI Ortholog
16574	Kif5c	kinesin family member 5C	Mus musculus	house mouse	PROTEIN_CODING	1	3800	NCBI Ortholog
16621	Klkb1	kallikrein B, plasma 1	Mus musculus	house mouse	PROTEIN_CODING	1	3818	NCBI Ortholog
16635	Klra4	killer cell lectin-like receptor, subfamily A, member 4	Mus musculus	house mouse	PROTEIN_CODING	3	NA	
16638	Klra7	killer cell lectin-like receptor, subfamily A, member 7	Mus musculus	house mouse	PROTEIN_CODING	2	NA	
