Disease	Type
Ribbing Disease	"2,24"
Bone Marrow Necrosis	"2,8,24"
Polycystic Bone Disease	"2,24"
Cutaneous-Skeletal Hypophosphatemia Syndrome	"2,24"
Pierre Robin Sequence with Pectus Excavatum and Rib and Scapular Anomalies	"2,24"
Coloboma of Macula and Skeletal Anomalies	"2,6,20,24"
Skeletal-Extraskeletal Angiomatosis	"2,24"
"Skeletal Dysplasia and Progressive Central Nervous System Degeneration, Lethal"	"2,13"
"Blount Disease, Adolescent"	2
Micromelic Bone Dysplasia with Cloverleaf Skull	2
"Talo-Patello-Scaphoid Osteolysis, Synovitis, and Short Fourth Metacarpals"	2
"Macroepiphyseal Dysplasia with Osteoporosis, Wrinkled Skin, and Aged Appearance"	"2,17,24"
Expansile Bone Lesions	2
"Thanatophoric Dysplasia, Glasgow Variant"	2
"Hirsutism, Skeletal Dysplasia, and Mental Retardation"	"2,10,13"
Osteopenia and Sparse Hair	2
"Nasal Bones, Absence of"	2
Ossified Ear Cartilages	"2,4"
Type 2 Collagen-Related Bone Disorder	"2,24"
Trichoodontoonychial Dysplasia with Bone Deficiency	2
Fam111a-Related Skeletal Dysplasias	2
Sost-Related Sclerosing Bone Dysplasias	2
"Cortical Defects, Wormian Bones, and Dentinogenesis Imperfecta"	2
"Hydrops Fetalis, Nonimmune, with Gracile Bones and Dysmorphism"	"2,20"
"Hypouricemia, Hypercalcinuria, and Decreased Bone Density"	2
"Chondrodysplasia, Lethal, with Long Bone Angulation and Mixed Bone Density"	2
Camptodactyly with Fibrous Tissue Hyperplasia and Skeletal Dysplasia	2
Osteoma of Middle Ear	"2,4"
Pubic Bone Dysplasia	2
Cote Katsantoni Syndrome	"2,17,24"
"Bone Pain, Periodic"	2
Iridogoniodysgenesis and Skeletal Anomalies	"2,24"
"Skeletal Dysplasia, San Diego Type"	"2,24"
Osteomas of Mandible	2
Bone Size Quantitative Trait Locus 1	2
Craniofacial and Skeletal Defects	"2,24"
"Creases, Infra-Auricular Cutaneous, with Tall Stature and Advanced Bone Age"	2
"Osteoma of Cranial Vault, Familial"	"2,21"
Pointer Syndrome	"2,24"
"Bowing of Long Bones, Asymmetric and Symmetric"	2
Hydrocephalus Skeletal Anomalies	"2,24"
"Microcephaly, Severe, with Skeletal Anomalies Including Posterior Rib-Gap Defects"	2
"Osteosclerotic Chondrodysplasia, Lethal, with Intracellular Inclusions"	2
Kozlowski Warren Fisher Syndrome	"2,24"
"Skeletal Dysplasia, Rhizomelic, with Retinitis Pigmentosa"	2
"Disorder of Phospholipids, Sphingolipids and Fatty Acids Biosynthesis with Skeletal Muscle Predominant Involvement"	"2,11,23,24"
Sandhaus Ben-Ami Syndrome	"2,24"
Pseudohypoparathyroidism Without Albright Hereditary Osteodystrophy	"2,5,12,20,24"
Perlecan-Related Bone Disorder	"2,24"
Sulfation-Related Bone Disorder	"2,24"
Genetic Bone Tumor	"2,24"
Aggrecan-Related Bone Disorder	"2,24"
Brittle Bone Syndrome Lethal Type	"2,24"
Bone Dysplasia Corpus Callosum Agenesis	"2,24"
Osteochondrosis of Genetic Origin	"2,24"
Bone Dysplasia Azouz Type	"2,24"
Gigantism Advanced Bone Age Hoarse Cry	"2,24"
Bone Dysplasia Moore Type	"2,24"
Cataract Skeletal Anomalies	"2,24"
Dwarfism Lethal Type Advanced Bone Age	"2,24"
Oculo Skeletal Renal Syndrome	"2,12,24"
Dwarfism Thin Bones Multiple Fractures	"2,24"
Cutis Laxa Osteoporosis	"2,24"
Carpo Tarsal Osteolysis Recessive	"2,24"
Pierre Robin Syndrome Skeletal Dysplasia Polydactyly	"2,24"
Brittle Bone Disorder	"2,20,24"
Mucopolysaccharidosis-Plus Syndrome	"2,5,6,10,13,14,16,17,20,21,23,24"
Temporal Arteritis	"2,3,8,12,13,14,24"
Hutchinson-Gilford Progeria Syndrome	"2,17,20,21,24"
Arthropathy	2
Polyarteritis Nodosa	"2,3,8,12,13,24"
"Vasculopathy, Retinal, with Cerebral Leukoencephalopathy and Systemic Manifestations"	"2,3,6,13,21,24"
Chromosome 2q35 Duplication Syndrome	"2,20,21,24"
Campomelic Dysplasia	"2,5,13,15,20,21,24"
Sotos Syndrome	"2,6,13,20,21,24"
Congenital Hemidysplasia with Ichthyosiform Erythroderma and Limb Defects	"2,17,20,21,23,24"
Spinal Stenosis	"2,13"
"Tumoral Calcinosis, Hyperphosphatemic, Familial, 1"	"2,5,14,17,20,21,23,24"
Chordoma	"2,5,19,24"
Septic Arthritis	"2,24"
Carpenter Syndrome 1	"2,5,13,20,21,23,24"
Van Buchem Disease	"2,20,21,24"
Scoliosis	"2,24"
3mc Syndrome	"2,13,20,21,24"
Hyaline Fibromatosis Syndrome	"2,14,17,20,21,24"
Erdheim-Chester Disease	"2,8,17,24"
Spondylolisthesis	2
Koolen-De Vries Syndrome	"2,13,20,21,24"
Postaxial Acrofacial Dysostosis	"2,6,20,21,24"
Spondylitis	2
Spondyloarthropathy	"2,8,11,21,24"
"Schwartz-Jampel Syndrome, Type 1"	"2,6,13,20,21,24"
Asphyxiating Thoracic Dystrophy	2
Anauxetic Dysplasia 1	"2,17,20,21,24"
Brachydactyly	"2,20,21,24"
Fibrochondrogenesis	"2,4,16,18,20,21,24"
Degenerative Disc Disease	2
Collagen Disease	2
Autoinflammatory Syndrome	"2,8,24"
Wrinkly Skin Syndrome	"2,13,17,20,21,23,24"
Clubfoot	2
Fibrous Dysplasia	2
Short-Rib Thoracic Dysplasia 12	2
Spondylocostal Dysostosis	"2,13,16,20,21,23,24"
Spinal Disease	2
"Syndactyly, Type Iii"	"2,20,21,24"
Currarino Syndrome	"2,12,15,20,21,24"
"Spondyloepimetaphyseal Dysplasia with Joint Laxity, Type 1, with or Without Fractures"	"2,21"
Hemarthrosis	2
Dysostosis	"2,20,24"
Klippel-Feil Syndrome	"2,21"
Synostosis	2
Chondromalacia	2
Diffuse Cutaneous Systemic Sclerosis	"2,12,16,17,24"
Idiopathic Scoliosis	2
Spondylolysis	2
"Craniotubular Dysplasia, Ikegawa Type"	"2,21"
Benign Giant Cell Tumor	"2,19"
Non-Langerhans-Cell Histiocytosis	"2,8,17,24"
"Synostoses, Tarsal, Carpal, and Digital"	"2,24"
Enophthalmos	"2,6"
Short-Rib Thoracic Dysplasia 14 with Polydactyly	"2,21"
Ochronosis	"2,24"
Periostitis	2
Acrocephalopolysyndactyly Type Iii	"2,16,20,24"
Progressive Non-Infectious Anterior Vertebral Fusion	"2,20,24"
Villonodular Synovitis	2
Hypermobility Syndrome	2
Synpolydactyly	"2,20,21,24"
Avascular Necrosis	"2,24"
Spondylodysplastic Ehlers-Danlos Syndrome	"2,6,10,13,17,20,21,23,24"
Omodysplasia	"2,18,20,21,24"
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis	"2,3,8,16,24"
Larsen-Like Syndrome B3gat3 Type	"2,3,18,20,21,23,24"
Periarthritis	2
Coxa Vara	"2,24"
Atelosteogenesis	"2,13,14,16,20,21,24"
Nivelon-Nivelon-Mabille Syndrome	"2,5,6,15,20,21,24"
"Spondyloepiphyseal Dysplasia, Kimberley Type"	"2,20,21,24"
Desbuquois Dysplasia	"2,6,20,21,24"
Myxoid Chondrosarcoma	"2,19"
Shoulder Impingement Syndrome	"2,11"
Tibial Adamantinoma	"2,19"
Orbit Rhabdomyosarcoma	"2,19"
Endocrine Exophthalmos	2
Orbital Plasma Cell Granuloma	2
Torch Syndrome	"2,9,10,13,20,21,24"
Pulsating Exophthalmos	2
Pfapa Syndrome	"2,8,24"
"Short Rib-Polydactyly Syndrome, Beemer-Langer Type"	"2,16,20,24"
Palindromic Rheumatism	"2,24"
Angioedema Induced by Ace Inhibitors	"2,8,21,24"
Femoral-Facial Syndrome	"2,20,24"
Hydrarthrosis	2
Shashi-Pena Syndrome	"2,21,24"
Joubert Syndrome with Jeune Asphyxiating Thoracic Dystrophy	"2,6,13,16,20,24"
Mesomelia-Synostoses Syndrome	"2,20,24"
Heel Spur	2
Acrocephalopolydactylous Dysplasia	"2,20,24"
Wild Type Abeta2m Amyloidosis	"2,24"
Plica Syndrome	2
Tetrasomy X	"2,5,15,20,24"
Trisomy 4p	"2,5,6,10,12,15,20,24"
Thalidomide Embryopathy	"2,20,24"
Thyrotoxic Exophthalmos	2
Igg4-Related Thyroid Disease	"2,5,24"
Tuberculum Sellae Meningioma	"2,19"
Juvenile Ankylosing Spondylitis	"2,8,21"
Cavernous Sinus Meningioma	"2,13,19"
Olecranon Bursitis	2
Enchondroma	"2,24"
Zygodactyly 1	"2,20,21,24"
Igg4-Related Mesenteritis	"2,24"
Periosteal Chondrosarcoma	"2,19"
Metaphyseal Enchondromatosis with D-2-Hydroxyglutaric Aciduria	"2,20,24"
Oculoauriculofrontonasal Syndrome	"2,20,24"
Nievergelt Syndrome	"2,17,20,24"
Anonychia-Onychodystrophy with Hypoplasia or Absence of Distal Phalanges	"2,17,20,24"
Ulnar Hypoplasia	"2,20,24"
Spinal Chordoma	"2,19"
Fibrogenesis Imperfecta Ossium	2
Chromosome 8q22.1 Duplication Syndrome	"2,17,20,21,24"
Intermittent Hydrarthrosis	"2,24"
"Symphalangism, Distal"	"2,20,24"
Intracranial Chondrosarcoma	"2,19"
Sepsis in Premature Infants	"2,24"
"Joint Laxity, Short Stature, and Myopia"	"2,6,20,21,24"
Mandibulofacial Dysostosis with Macroblepharon and Macrostomia	"2,4,6,20,24"
Extraskeletal Mesenchymal Chondrosarcoma	"2,19"
"Short Rib-Polydactyly Syndrome, Majewski Type"	"2,16,20,24"
Generalized Eruptive Histiocytosis	"2,17,24"
9q22.3 Microdeletion	"2,19"
Systemic Autoimmune Disease	"2,24"
"Short Stature, Dauber-Argente Type"	"2,21"
Pelvis-Shoulder Dysplasia	"2,20,24"
Vascular Hyalinosis	"2,24"
Patella Aplasia-Hypoplasia	"2,20,21,24"
Intermittent Proptosis	2
Acrorenal-Mandibular Syndrome	"2,12"
Sagliker Syndrome	"2,24"
Crystal Arthropathies	"2,24"
Orbital Granuloma	2
"Acrofacial Dysostosis, Palagonia Type"	"2,4,20,24"
Monostotic Fibrous Dysplasia	"2,20,24"
Inflammatory Spondylopathy	2
Fibrous Dysplasia / Mccune-Albright Syndrome	"2,20,24"
Bicipital Tenosynovitis	"2,11"
Kummell's Disease	2
"Faciocardiomelic Dysplasia, Lethal"	"2,20,24"
Car T Cell Therapy-Associated Cytokine Release Syndrome	"2,24"
Sphenoorbital Meningioma	"2,19"
"Cutis Laxa, Neonatal, with Marfanoid Phenotype"	"2,20,24"
Dropped Head Syndrome	2
Split-Foot Deformity with Mandibulofacial Dysostosis	"2,20,24"
"Polysyndactyly, Crossed"	"2,20,24"
Cutaneous Pseudolymphoma	"2,17,24"
Dyschondrosteosis and Nephritis	"2,12,20,24"
Symphalangism with Multiple Anomalies of Hands and Feet	"2,20,24"
Camptodactyly-Joint Contractures-Facial Skeletal Defects Syndrome	"2,6,20,24"
"Omphalocele, Diaphragmatic Hernia, and Radial Ray Defects"	"2,3,13,20,24"
"Brachyolmia Type 1, Hobaek Type"	2
Craniorhiny	"2,18,20,24"
Spondyloepimetaphyseal Dysplasia with Hypotrichosis	"2,20,24"
"Craniosynostosis, Philadelphia Type"	"2,20,24"
Cono-Spondylar Dysplasia	"2,13,20,24"
Imperforate Oropharynx-Costovertebral Anomalies Syndrome	"2,20,24"
"Spondyloepimetaphyseal Dysplasia Congenita, Strudwick Type"	"2,20,24"
"Brachydactyly, Combined B and E Types"	"2,24"
Kallmann Syndrome-Heart Disease Syndrome	"2,5,13,15,20,24"
"Spondylometaphyseal Dysplasia, East African Type"	"2,24"
Megaepiphyseal Dwarfism	"2,24"
Spondyloepiphyseal Dysplasia Tarda with Characteristic Facies	"2,21"
"Exostoses with Anetodermia and Brachydactyly, Type E"	"2,20,24"
Medial Condensing Osteitis of the Clavicle	"2,24"
Amelia of Upper Limb	"2,20,24"
"Basilar Impression, Primary"	2
Myalgia-Eosinophilia Syndrome Associated with Tryptophan	"2,11,17,24"
Kallmann Syndrome with Spastic Paraplegia	2
Diaphragma Sellae Meningioma	"2,19"
Absent Radius-Anogenital Anomalies Syndrome	"2,20,24"
Hypoplastic Femurs and Pelvis	"2,14"
Non-Syndromic Polydactyly	"2,20,24"
Cleft Palate-Stapes Fixation-Oligodontia Syndrome	"2,4,14,20,24"
Dobrow Syndrome	"2,4,15,20,24"
Hypermobility of Coccyx	2
"Dysplastic Cortical Hyperostosis, Kozlowski-Tsuruta Type"	"2,20,24"
Midface Dysplasia	2
Fibroosseous Pseudotumor of Digits	"2,19"
Type 1 Interferonopathy	"2,24"
Hemangioma of Orbit	2
Prenatal Benign Hypophosphatasia	"2,20,24"
Spondyloepiphyseal Dysplasia with Punctate Corneal Dystrophy	2
Congenital Pseudoarthrosis of the Femur	"2,20,24"
Orbital Periostitis	2
Fibular Dimelia-Diplopodia Syndrome	"2,20,24"
Sphenocavernous Meningioma	"2,19"
En1-Related Dorsoventral Syndrome	"2,13,20,24"
Non-Rhizomelic Chondrodysplasia Punctata	"2,20,24"
Orbit Alveolar Rhabdomyosarcoma	"2,19"
Cloverleaf Skull-Asphyxiating Thoracic Dysplasia Syndrome	"2,20,24"
Okihiro Syndrome Due to 20q13 Microdeletion	"2,6,20,24"
"Mucopolysaccharidosis Type 6, Rapidly Progressing"	"2,6,20,23,24"
Non-Syndromic Postaxial Polydactyly	"2,20,24"
Congenital Absence of Both Forearm and Hand	"2,20,24"
Humeral Agenesis/hypoplasia	"2,20,24"
Congenital Absence of Both Lower Leg and Foot	"2,20,24"
Isolated Sternocostoclavicular Hyperostosis	"2,24"
Congenital Hypoplasia of Thumb	"2,20,24"
Behcet's Syndrome Arthropathy	2
Dysostosis with Brachydactyly	"2,20,24"
Unspecified Juvenile Idiopathic Arthritis	"2,16,24"
Okihiro Syndrome Due to a Point Mutation	"2,6,20,24"
Secondary Neonatal Autoimmune Disease	"2,24"
Congenital Pseudoarthrosis of the Limbs	"2,20,24"
"Acrofacial Dysostosis, Patagonia Type"	2
Terminal Transverse Limb Defect	"2,20,24"
Non-Syndromic Unisutural Craniosynostosis	"2,20,24"
"Radio-Ulnar Synostosis, Bilateral"	"2,20,24"
Gonococcal Bursitis	2
Mixed Autoinflammatory and Autoimmune Syndrome	"2,24"
Unexplained Long-Lasting Fever/inflammatory Syndrome	"2,24"
"Humero-Ulnar Synostosis, Bilateral"	"2,20,24"
"Radio-Ulnar Synostosis, Unilateral"	"2,20,24"
Phalanx Chondroma	"2,19"
Constant Exophthalmos	2
Specific Bursitis Often of Occupational Origin	2
Gonococcal Spondylitis	2
"Syndrome with Limb Duplication, Polydactyly, Syndactyly, and/or Hyperphalangy"	"2,20,24"
Tenosynovitis of Foot and Ankle	"2,11"
Krauss Herman Holmes Syndrome	"2,24"
Pyogenic Autoinflammatory Syndrome	"2,24"
Complete Hemimelia	"2,20,24"
Dysostosis with Combined Reduction Defects of Upper and Lower Limbs	"2,20,24"
Syndrome with Synostosis or Other Joint Formation Defect	"2,20,24"
Non-Syndromic Complex Polydactyly	"2,20,24"
Undifferentiated Carcinoma with Osteoclast-Like Giant Cells of Pancreas	"2,5,7,19,24"
Laryngeal Cartilage Cancer	"2,16,19"
Renal Osteodystrophy	"2,12,24"
Bone Giant Cell Sarcoma	"2,19"
"Joint Contractures, Osteochondromas, and B-Cell Lymphoma"	"2,8,21"
Alkaptonuria	"2,5,6,12,17,21,23,24"
Rheumatoid Arthritis Interstitial Lung Disease	"2,8,16"
Hypophosphatemic Nephrolithiasis/osteoporosis	"2,12,21"
Hypotrichosis-Osteolysis-Periodontitis-Palmoplantar Keratoderma Syndrome	"2,14,17,20,24"
Hereditary Sensory Neuropathy	"2,4,10,11,13,20,21,24"
Aromatase Deficiency	"2,5,15,20,21,23,24"
Skeletal Muscle Neoplasm	"2,11,19"
Skeletal Muscle Glycogen Content and Metabolism Quantitative Trait Locus	"2,11,21,23"
Csf1r-Related Brain Malformation and Osteopetrosis	"2,13"
Rare Genetic Bone Development Disorder	"2,24"
Werner Syndrome	"2,6,17,19,20,21,24"
Sarcoma	"2,19"
Rheumatoid Vasculitis	"2,3,24"
Neurodevelopmental Disorder with Poor Growth and Skeletal Anomalies	"2,10,13,21"
"Permanent Molars, Secondary Retention of"	"2,7,11,14,24"
Neurodevelopmental Disorder with Craniofacial Dysmorphism and Skeletal Defects	"2,10,13,21"
Tolchin-Le Caignec Syndrome	"2,10,14,21"
"Osteoporosis, Childhood- or Juvenile-Onset, with Developmental Delay"	"2,10,21"
Muscular Dystrophy	"2,3,11,13,14,16,21,24"
"Isolated Growth Hormone Deficiency, Type Ib"	"2,5,8,21,24"
Acrodysostosis 1 with or Without Hormone Resistance	"2,5,21,23"
Inclusion Body Myopathy with Early-Onset Paget Disease of Bone with or Without Frontotemporal Dementia 1	"2,10,14,21"
Bifid Nose	"2,18,20,24"
Neurodevelopmental Disorder with Coarse Facies and Mild Distal Skeletal Abnormalities	"2,10,13,21"
"Cardiac Arrhythmia Syndrome, with or Without Skeletal Muscle Weakness"	"2,11,21"
"Deafness, Progressive, with Stapes Fixation"	"2,4,20,24"
Short Stature-Delayed Bone Age Due to Thyroid Hormone Metabolism Deficiency	"2,5,23,24"
Prenatal-Onset Spinal Muscular Atrophy with Congenital Bone Fractures	"2,11,13,20,24"
Emery-Dreifuss Muscular Dystrophy	"2,3,11,13,21,24"
Batten-Turner Congenital Myopathy	"2,11,13,24"
Muscular Atrophy	"2,11,13,24"
Marinesco-Sjogren Syndrome	"2,6,11,13,20,21,24"
Tracheomalacia	"2,16,20,24"
"Myopathy, X-Linked, with Excessive Autophagy"	"2,11,13,21,24"
3mc Syndrome 2	"2,6,15,21"
Rippling Muscle Disease 2	"2,11,13,21,24"
Nemaline Myopathy	"2,11,13,16,20,21,24"
"Myotonia, Potassium-Aggravated"	"2,11,13,21,24"
Pigmented Paravenous Chorioretinal Atrophy	"2,3,6,13,21,24"
"Myotonia Congenita, Autosomal Dominant"	"2,3,11,21"
Adenosine Monophosphate Deaminase Deficiency	"2,11,13,23,24"
Duchenne and Becker Muscular Dystrophy	"2,3,11,13,24"
Chromosome 15q24 Deletion Syndrome	"2,13,15,20,21,24"
Cerebrooculofacioskeletal Syndrome	"2,4,6,13,17,20,21,24"
Rheumatic Myocarditis	"2,3,22"
"Immunodeficiency 98 with Autoinflammation, X-Linked"	"2,8,21"
Foix-Alajouanine Syndrome	"2,3,13,20,21,24"
Skeletal Muscle Disease	"2,11,13,24"
Cartilage Cancer	"2,19"
"Dermatoosteolysis, Kirghizian Type"	"2,6,17,20,21,24"
Eye Defects-Arachnodactyly-Cardiopathy Syndrome	"2,3,6,24"
"Premature Aging Syndrome, Okamoto Type"	"2,10,24"
Myotonia with Skeletal Abnormalities and Mental Retardation	"2,10,13"
"Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy"	"2,10,13"
Rare Genetic Bone Disease	"2,24"
Osteopetrosis and Infantile Neuroaxonal Dystrophy	"2,13"
Genetic Skeletal Muscle Disease	"2,11,13,24"
Rare Genetic Systemic or Rheumatologic Disease	"2,24"
Central Nervous System Osteosarcoma	"2,13,19"
Rare Bone Disease Related to a Common Gene or Pathway Defect	"2,24"
Rare Pediatric Rheumatologic Disease	"2,24"
Rare Systemic or Rheumatological Disease of Childhood	"2,24"
Facio Skeletal Genital Syndrome Rippberger Type	"2,15,24"
Osteoporosis	"2,20,21,24"
Marfan Syndrome	"2,3,6,13,20,21,24"
Osteoarthritis	2
Mccune-Albright Syndrome	"2,5,15,17,20,21,24"
Smith-Lemli-Opitz Syndrome	"2,5,6,12,13,20,21,23,24"
Ewing Sarcoma	"2,19,21,24"
Hurler Syndrome	"2,6,13,20,21,23,24"
Arthritis	"2,8,9,21"
"Meckel Syndrome, Type 1"	"2,6,9,10,12,13,20,21,24"
Mevalonic Aciduria	"2,6,13,17,20,21,23,24"
Cornelia De Lange Syndrome	"2,6,10,11,13,20,21,24"
Crouzon Syndrome	"2,6,20,21,24"
Apert Syndrome	"2,6,13,20,21,24"
Ehlers-Danlos Syndrome	"2,17,20,21,24"
Treacher Collins Syndrome 1	"2,4,6,20,21,24"
Aspartylglucosaminuria	"2,13,21,23,24"
Lupus Erythematosus	"2,8,12,17,21,24"
Rheumatic Fever	"2,3,11,14,22,24"
Hypermobile Ehlers-Danlos Syndrome	"2,11,17,20,24"
Hypochondroplasia	"2,20,21,24"
Camurati-Engelmann Disease	"2,17,20,21,24"
Adult-Onset Still's Disease	"2,8,12,14,17,24"
"Epiphyseal Dysplasia, Multiple, with Early-Onset Diabetes Mellitus"	"2,5,13,20,21,24"
Polydactyly	"2,20,24"
Bone Disease	"2,24"
Rhinitis	"2,16,18"
"Otospondylomegaepiphyseal Dysplasia, Autosomal Dominant"	"2,4,20,21,24"
Acth-Independent Macronodular Adrenal Hyperplasia	"2,5,21,24"
Rhizomelic Chondrodysplasia Punctata	"2,6,13,20,21,23,24"
Serum Amyloid a Amyloidosis	"2,5,7,8,12,13,23,24"
Seckel Syndrome	"2,6,13,18,20,21,24"
Inclusion Body Myopathy with Paget Disease of Bone and Frontotemporal Dementia	"2,13,20,24"
"Acrofacial Dysostosis 1, Nager Type"	"2,6,20,21,24"
Cerebrocostomandibular Syndrome	"2,13,14,20,21,24"
Visceral Leishmaniasis	"2,7,8,22"
"Multiple Enchondromatosis, Maffucci Type"	"2,3,17,20,24"
"Hypophosphatemic Rickets with Hypercalciuria, Hereditary"	"2,5,12,20,21,24"
Chondrocalcinosis	"2,21,23,24"
Bursitis	"2,11"
Antisynthetase Syndrome	"2,8,13,16,24"
Ankylosis	"2,11"
Acromicric Dysplasia	"2,20,21,24"
"46,xx Sex Reversal 1"	"2,5,15,19,20,21,24"
Otosclerosis	"2,4,21,24"
"Spondyloepiphyseal Dysplasia Tarda, X-Linked"	"2,20,21,24"
Vexas Syndrome	"2,3,17,21,24"
Epicondylitis	"2,11"
Bone Inflammation Disease	2
Osteosclerosis	2
Hereditary Multiple Exostoses	"2,11,19,20,21,23,24"
"Chondrodysplasia, Blomstrand Type"	"2,6,20,21,24"
Enthesopathy	"2,11"
Shprintzen-Goldberg Craniosynostosis Syndrome	"2,13,20,21,24"
Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome	"2,7,10,12,13,20,21,23,24"
Split Hand-Foot Malformation	"2,4,13,17,20,21,24"
Spondylosis	"2,13"
Hyperostosis	2
Orofaciodigital Syndrome	"2,4,6,12,13,14,16,17,18,20,21,24"
Myhre Syndrome	"2,13,20,21,24"
"Endosteal Hyperostosis, Autosomal Dominant"	"2,14,21"
Geleophysic Dysplasia	"2,20,21,24"
Raine Syndrome	"2,12,20,21,24"
Short Rib-Polydactyly Syndrome	"2,16,20,24"
Genitopatellar Syndrome	"2,13,20,21,24"
Mesenchymal Chondrosarcoma	"2,19"
Tracheal Stenosis	"2,16,20,24"
Boomerang Dysplasia	"2,16,20,21,24"
Spondyloepimetaphyseal Dysplasia with Joint Laxity	"2,11,14,20,21,24"
Orbital Disease	"2,6,11"
Oligoarticular Juvenile Idiopathic Arthritis	"2,6,16,24"
Bone Osteosarcoma	"2,19"
Superior Semicircular Canal Dehiscence	"2,4,24"
Tarsal-Carpal Coalition Syndrome	"2,20,21,24"
Solitary Bone Cyst	"2,24"
Glucocorticoid-Induced Osteoporosis	2
Brittle Cornea Syndrome	"2,6,13,17,20,21,24"
Radioulnar Synostosis	"2,20,21,24"
Neurogenic Arthropathy	"2,13"
Craniodiaphyseal Dysplasia	"2,13,20,21,24"
Developmental Dysplasia of the Hip 1	"2,10"
Scheuermann Disease	"2,21,24"
Lethal Congenital Contracture Syndrome	"2,6,11,12,13,16,20,21,24"
Peroxisomal Biogenesis Disorder	"2,5,21,23,24"
Osteitis Fibrosa	"2,5,12"
Ossifying Fibroma	"2,14,19,24"
Acromesomelic Dysplasia	"2,15,20,21,24"
Brachyolmia Type 4 with Mild Epiphyseal and Metaphyseal Changes	"2,20,21,24"
Pediatric Systemic Lupus Erythematosus	"2,12,13,16,24"
Marfanoid-Progeroid-Lipodystrophy Syndrome	"2,21,24"
Mastoiditis	"2,4"
Bone Resorption Disease	2
Osgood-Schlatter's Disease	"2,24"
Spondyloepimetaphyseal Dysplasia	2
Apolipoprotein a-Iv Associated Amyloidosis	"2,3,12,23,24"
Yaws	"2,17,22,24"
Osteoarthritis with Mild Chondrodysplasia	"2,20,21,24"
"Arthrogryposis Multiplex Congenita 3, Myogenic Type"	"2,11,13,20,21,24"
"Constricting Bands, Congenital"	"2,20,24"
Metaphyseal Anadysplasia	"2,20,21,24"
Luscan-Lumish Syndrome	"2,13,14,20,21,23,24"
Metaphyseal Dysplasia	"2,20,24"
Patellofemoral Pain Syndrome	"2,14"
"Short Stature, Auditory Canal Atresia, Mandibular Hypoplasia, and Skeletal Abnormalities"	"2,4,20,21,24"
Marsili Syndrome	"2,21"
Skull Base Meningioma	"2,19"
Primary Bone Dysplasia	"2,20,24"
"Autoinflammation, Antibody Deficiency, and Immune Dysregulation"	"2,21,24"
"Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction"	"2,20,21,24"
Schinzel-Giedion Midface Retraction Syndrome	"2,12,13,21"
Mosaic Trisomy 8	"2,12,15,20,24"
Odontochondrodysplasia 1	"2,14,20,21,24"
Overlap Myositis	"2,13,24"
Otopalatodigital Syndrome Spectrum Disorder	"2,4,13,14,20,21,24"
Adamantinoma of Long Bones	"2,19,24"
Curry-Jones Syndrome	"2,13,20,21,24"
Ritscher-Schinzel Syndrome	"2,4,10,13,20,21,24"
Skeletal Tuberculosis	"2,22"
Pseudodiastrophic Dysplasia	"2,20,24"
"Metaphyseal Dysplasia, Spahr Type"	"2,20,21,24"
Hyperostosis Frontalis Interna	"2,20,23,24"
Antley-Bixler Syndrome with Disordered Steroidogenesis	"2,21"
Acrofacial Dysostosis	"2,20,24"
Bone Development Disease	"2,20,24"
"Camptodactyly Syndrome, Guadalajara, Type I"	"2,4,13,15,20,24"
Tooth Ankylosis	"2,14"
"Digital Clubbing, Isolated Congenital"	"2,17,20,21,24"
Epiphysiolysis of the Hip	"2,14,24"
Pinta Disease	"2,17,22,24"
Kohler's Disease	2
Ververi-Brady Syndrome	"2,10,13,20,21,24"
Bone Epithelioid Hemangioma	"2,19"
Bejel	"2,17,22,24"
Fibular Hemimelia	"2,20,24"
"Spondyloepiphyseal Dysplasia, Nishimura Type"	"2,18,20,21,24"
Petroclival Meningioma	"2,19"
Gillessen-Kaesbach-Nishimura Syndrome	"2,12,21"
Dysplasia Epiphysealis Hemimelica	"2,20,24"
De Quervain Disease	"2,24"
Oculomaxillofacial Dysostosis	"2,20,24"
Bone Remodeling Disease	2
Leukoencephalopathy-Spondyloepimetaphyseal Dysplasia Syndrome	"2,6,13,20,24"
Trigonocephaly with Short Stature and Developmental Delay	"2,13,20,24"
Ischemic Bone Disease	2
Undifferentiated Connective Tissue Disease	"2,24"
Primary Fanconi Renotubular Syndrome	"2,12,16,21,23,24"
"Macrocephaly/megalencephaly Syndrome, Autosomal Recessive"	"2,21"
Ramon Syndrome	"2,13,14,20,24"
Acrofrontofacionasal Dysostosis	"2,20,24"
Ring Chromosome	"2,3,4,6,7,8,10,12,13,14,15,17,20,24"
"Arthrogryposis, Distal, with Impaired Proprioception and Touch"	"2,11,13,21"
Congenital Disorder of Glycosylation with Defective Fucosylation 1	"2,13,21"
Spastic Paraplegia-Paget Disease of Bone Syndrome	"2,13,20,24"
Rubinstein-Taybi Syndrome Due to 16p13.3 Microdeletion	"2,5,6,12,13,20,24"
Acute Orbital Inflammation	"2,6"
