NCBI.GeneID	Symbol	Description	Taxonomic.Name	Common.Name	Gene.Type	Transcripts	Gene.Group.Identifier	Gene.Group.Method
1606	DGKA	diacylglycerol kinase alpha	Homo sapiens	human	PROTEIN_CODING	42	1606	NCBI Ortholog
160728	SLC5A8	solute carrier family 5 member 8	Homo sapiens	human	PROTEIN_CODING	7	160728	NCBI Ortholog
1613	DAPK3	death associated protein kinase 3	Homo sapiens	human	PROTEIN_CODING	2	1613	NCBI Ortholog
161742	SPRED1	sprouty related EVH1 domain containing 1	Homo sapiens	human	PROTEIN_CODING	8	161742	NCBI Ortholog
162	AP1B1	adaptor related protein complex 1 subunit beta 1	Homo sapiens	human	PROTEIN_CODING	8	162	NCBI Ortholog
1629	DBT	dihydrolipoamide branched chain transacylase E2	Homo sapiens	human	PROTEIN_CODING	9	1629	NCBI Ortholog
164	AP1G1	adaptor related protein complex 1 subunit gamma 1	Homo sapiens	human	PROTEIN_CODING	2	164	NCBI Ortholog
1663	DDX11	DEAD/H-box helicase 11	Homo sapiens	human	PROTEIN_CODING	95	1663	NCBI Ortholog
1668	DEFA3	defensin alpha 3	Homo sapiens	human	PROTEIN_CODING	4	NA	
1675	CFD	complement factor D	Homo sapiens	human	PROTEIN_CODING	2	1675	NCBI Ortholog
1676	DFFA	DNA fragmentation factor subunit alpha	Homo sapiens	human	PROTEIN_CODING	2	1676	NCBI Ortholog
1678	TIMM8A	translocase of inner mitochondrial membrane 8A	Homo sapiens	human	PROTEIN_CODING	2	1678	NCBI Ortholog
170506	DHX36	DEAH-box helicase 36	Homo sapiens	human	PROTEIN_CODING	2	170506	NCBI Ortholog
1716	DGUOK	deoxyguanosine kinase	Homo sapiens	human	PROTEIN_CODING	19	1716	NCBI Ortholog
1735	DIO3	iodothyronine deiodinase 3	Homo sapiens	human	PROTEIN_CODING	1	1735	NCBI Ortholog
1737	DLAT	dihydrolipoamide S-acetyltransferase	Homo sapiens	human	PROTEIN_CODING	14	1737	NCBI Ortholog
1741	DLG3	discs large MAGUK scaffold protein 3	Homo sapiens	human	PROTEIN_CODING	33	1741	NCBI Ortholog
1743	DLST	dihydrolipoamide S-succinyltransferase	Homo sapiens	human	PROTEIN_CODING	8	1743	NCBI Ortholog
1749	DLX5	distal-less homeobox 5	Homo sapiens	human	PROTEIN_CODING	5	1749	NCBI Ortholog
1776	DNASE1L3	deoxyribonuclease 1L3	Homo sapiens	human	PROTEIN_CODING	2	1776	NCBI Ortholog
1798	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1	Homo sapiens	human	PROTEIN_CODING	15	1798	NCBI Ortholog
1804	DPP6	dipeptidyl peptidase like 6	Homo sapiens	human	PROTEIN_CODING	16	1804	NCBI Ortholog
1823	DSC1	desmocollin 1	Homo sapiens	human	PROTEIN_CODING	3	1823	NCBI Ortholog
1854	DUT	deoxyuridine triphosphatase	Homo sapiens	human	PROTEIN_CODING	4	1854	NCBI Ortholog
1875	E2F5	E2F transcription factor 5	Homo sapiens	human	PROTEIN_CODING	3	1875	NCBI Ortholog
1892	ECHS1	enoyl-CoA hydratase, short chain 1	Homo sapiens	human	PROTEIN_CODING	1	1892	NCBI Ortholog
192111	PGAM5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase	Homo sapiens	human	PROTEIN_CODING	3	192111	NCBI Ortholog
196527	ANO6	anoctamin 6	Homo sapiens	human	PROTEIN_CODING	7	196527	NCBI Ortholog
1992	SERPINB1	serpin family B member 1	Homo sapiens	human	PROTEIN_CODING	11	1992	NCBI Ortholog
200186	CRTC2	CREB regulated transcription coactivator 2	Homo sapiens	human	PROTEIN_CODING	17	200186	NCBI Ortholog
200424	TET3	tet methylcytosine dioxygenase 3	Homo sapiens	human	PROTEIN_CODING	30	200424	NCBI Ortholog
201973	PRIMPOL	primase and DNA directed polymerase	Homo sapiens	human	PROTEIN_CODING	35	201973	NCBI Ortholog
2021	ENDOG	endonuclease G	Homo sapiens	human	PROTEIN_CODING	3	2021	NCBI Ortholog
2045	EPHA7	EPH receptor A7	Homo sapiens	human	PROTEIN_CODING	15	2045	NCBI Ortholog
2047	EPHB1	EPH receptor B1	Homo sapiens	human	PROTEIN_CODING	1	2047	NCBI Ortholog
206358	SLC36A1	solute carrier family 36 member 1	Homo sapiens	human	PROTEIN_CODING	50	206358	NCBI Ortholog
2103	ESRRB	estrogen related receptor beta	Homo sapiens	human	PROTEIN_CODING	15	2103	NCBI Ortholog
2110	ETFDH	electron transfer flavoprotein dehydrogenase	Homo sapiens	human	PROTEIN_CODING	3	2110	NCBI Ortholog
2180	ACSL1	acyl-CoA synthetase long chain family member 1	Homo sapiens	human	PROTEIN_CODING	30	2180	NCBI Ortholog
2181	ACSL3	acyl-CoA synthetase long chain family member 3	Homo sapiens	human	PROTEIN_CODING	4	2181	NCBI Ortholog
2186	BPTF	bromodomain PHD finger transcription factor	Homo sapiens	human	PROTEIN_CODING	98	2186	NCBI Ortholog
2188	FANCF	FA complementation group F	Homo sapiens	human	PROTEIN_CODING	1	2188	NCBI Ortholog
219541	MED19	mediator complex subunit 19	Homo sapiens	human	PROTEIN_CODING	3	219541	NCBI Ortholog
220296	HEPACAM	hepatic and glial cell adhesion molecule	Homo sapiens	human	PROTEIN_CODING	4	220296	NCBI Ortholog
2207	FCER1G	Fc epsilon receptor Ig	Homo sapiens	human	PROTEIN_CODING	1	2207	NCBI Ortholog
220988	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	Homo sapiens	human	PROTEIN_CODING	8	220988	NCBI Ortholog
221937	FOXK1	forkhead box K1	Homo sapiens	human	PROTEIN_CODING	1	221937	NCBI Ortholog
2222	FDFT1	farnesyl-diphosphate farnesyltransferase 1	Homo sapiens	human	PROTEIN_CODING	11	2222	NCBI Ortholog
2249	FGF4	fibroblast growth factor 4	Homo sapiens	human	PROTEIN_CODING	1	2249	NCBI Ortholog
2250	FGF5	fibroblast growth factor 5	Homo sapiens	human	PROTEIN_CODING	3	2250	NCBI Ortholog
2262	GPC5	glypican 5	Homo sapiens	human	PROTEIN_CODING	22	2262	NCBI Ortholog
22803	XRN2	5'-3' exoribonuclease 2	Homo sapiens	human	PROTEIN_CODING	6	22803	NCBI Ortholog
22807	IKZF2	IKAROS family zinc finger 2	Homo sapiens	human	PROTEIN_CODING	32	22807	NCBI Ortholog
22809	ATF5	activating transcription factor 5	Homo sapiens	human	PROTEIN_CODING	5	22809	NCBI Ortholog
22863	ATG14	autophagy related 14	Homo sapiens	human	PROTEIN_CODING	3	22863	NCBI Ortholog
22930	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	Homo sapiens	human	PROTEIN_CODING	10	22930	NCBI Ortholog
22937	SCAP	SREBF chaperone	Homo sapiens	human	PROTEIN_CODING	35	22937	NCBI Ortholog
22953	P2RX2	purinergic receptor P2X 2	Homo sapiens	human	PROTEIN_CODING	19	22953	NCBI Ortholog
22985	ACIN1	apoptotic chromatin condensation inducer 1	Homo sapiens	human	PROTEIN_CODING	33	22985	NCBI Ortholog
23019	CNOT1	CCR4-NOT transcription complex subunit 1	Homo sapiens	human	PROTEIN_CODING	4	23019	NCBI Ortholog
23049	SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	Homo sapiens	human	PROTEIN_CODING	26	23049	NCBI Ortholog
23054	NCOA6	nuclear receptor coactivator 6	Homo sapiens	human	PROTEIN_CODING	73	23054	NCBI Ortholog
23085	ERC1	ELKS/RAB6-interacting/CAST family member 1	Homo sapiens	human	PROTEIN_CODING	102	23085	NCBI Ortholog
23111	SPART	spartin	Homo sapiens	human	PROTEIN_CODING	29	23111	NCBI Ortholog
23114	NFASC	neurofascin	Homo sapiens	human	PROTEIN_CODING	101	23114	NCBI Ortholog
23122	CLASP2	cytoplasmic linker associated protein 2	Homo sapiens	human	PROTEIN_CODING	109	23122	NCBI Ortholog
23133	PHF8	PHD finger protein 8	Homo sapiens	human	PROTEIN_CODING	20	23133	NCBI Ortholog
2314	FLII	FLII actin remodeling protein	Homo sapiens	human	PROTEIN_CODING	12	2314	NCBI Ortholog
23163	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	Homo sapiens	human	PROTEIN_CODING	6	23163	NCBI Ortholog
23191	CYFIP1	cytoplasmic FMR1 interacting protein 1	Homo sapiens	human	PROTEIN_CODING	10	23191	NCBI Ortholog
23192	ATG4B	autophagy related 4B cysteine peptidase	Homo sapiens	human	PROTEIN_CODING	14	23192	NCBI Ortholog
23224	SYNE2	spectrin repeat containing nuclear envelope protein 2	Homo sapiens	human	PROTEIN_CODING	65	23224	NCBI Ortholog
23230	VPS13A	vacuolar protein sorting 13 homolog A	Homo sapiens	human	PROTEIN_CODING	4	23230	NCBI Ortholog
23365	ARHGEF12	Rho guanine nucleotide exchange factor 12	Homo sapiens	human	PROTEIN_CODING	35	23365	NCBI Ortholog
23369	PUM2	pumilio RNA binding family member 2	Homo sapiens	human	PROTEIN_CODING	94	23369	NCBI Ortholog
23396	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	Homo sapiens	human	PROTEIN_CODING	19	23396	NCBI Ortholog
23409	SIRT4	sirtuin 4	Homo sapiens	human	PROTEIN_CODING	6	23409	NCBI Ortholog
23414	ZFPM2	zinc finger protein, FOG family member 2	Homo sapiens	human	PROTEIN_CODING	16	23414	NCBI Ortholog
23450	SF3B3	splicing factor 3b subunit 3	Homo sapiens	human	PROTEIN_CODING	1	23450	NCBI Ortholog
23462	HEY1	hes related family bHLH transcription factor with YRPW motif 1	Homo sapiens	human	PROTEIN_CODING	3	23462	NCBI Ortholog
23479	ISCU	iron-sulfur cluster assembly enzyme	Homo sapiens	human	PROTEIN_CODING	8	23479	NCBI Ortholog
23492	CBX7	chromobox 7	Homo sapiens	human	PROTEIN_CODING	3	23492	NCBI Ortholog
23499	MACF1	microtubule actin crosslinking factor 1	Homo sapiens	human	PROTEIN_CODING	3	23499	NCBI Ortholog
2350	FOLR2	folate receptor beta	Homo sapiens	human	PROTEIN_CODING	8	2350	NCBI Ortholog
23521	RPL13A	ribosomal protein L13a	Homo sapiens	human	PROTEIN_CODING	3	23521	NCBI Ortholog
23522	KAT6B	lysine acetyltransferase 6B	Homo sapiens	human	PROTEIN_CODING	73	23522	NCBI Ortholog
23543	RBFOX2	RNA binding fox-1 homolog 2	Homo sapiens	human	PROTEIN_CODING	88	23543	NCBI Ortholog
23545	ATP6V0A2	ATPase H+ transporting V0 subunit a2	Homo sapiens	human	PROTEIN_CODING	8	23545	NCBI Ortholog
23566	LPAR3	lysophosphatidic acid receptor 3	Homo sapiens	human	PROTEIN_CODING	4	23566	NCBI Ortholog
23633	KPNA6	karyopherin subunit alpha 6	Homo sapiens	human	PROTEIN_CODING	9	23633	NCBI Ortholog
23645	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	Homo sapiens	human	PROTEIN_CODING	1	23645	NCBI Ortholog
23678	SGK3	serum/glucocorticoid regulated kinase family member 3	Homo sapiens	human	PROTEIN_CODING	3	23678	NCBI Ortholog
23683	PRKD3	protein kinase D3	Homo sapiens	human	PROTEIN_CODING	17	23683	NCBI Ortholog
246243	RNASEH1	ribonuclease H1	Homo sapiens	human	PROTEIN_CODING	13	246243	NCBI Ortholog
247	ALOX15B	arachidonate 15-lipoxygenase type B	Homo sapiens	human	PROTEIN_CODING	3	247	NCBI Ortholog
251	ALPG	alkaline phosphatase, germ cell	Homo sapiens	human	PROTEIN_CODING	1	251	NCBI Ortholog
2533	FYB1	FYN binding protein 1	Homo sapiens	human	PROTEIN_CODING	22	2533	NCBI Ortholog
255022	CALHM1	calcium homeostasis modulator 1	Homo sapiens	human	PROTEIN_CODING	1	255022	NCBI Ortholog
257000	TINCR	TINCR ubiquitin domain containing	Homo sapiens	human	PROTEIN_CODING	2	257000	NCBI Ortholog
25793	FBXO7	F-box protein 7	Homo sapiens	human	PROTEIN_CODING	3	25793	NCBI Ortholog
25816	TNFAIP8	TNF alpha induced protein 8	Homo sapiens	human	PROTEIN_CODING	14	25816	NCBI Ortholog
2582	GALE	UDP-galactose-4-epimerase	Homo sapiens	human	PROTEIN_CODING	3	2582	NCBI Ortholog
2584	GALK1	galactokinase 1	Homo sapiens	human	PROTEIN_CODING	2	2584	NCBI Ortholog
25842	ASF1A	anti-silencing function 1A histone chaperone	Homo sapiens	human	PROTEIN_CODING	1	25842	NCBI Ortholog
25898	RCHY1	ring finger and CHY zinc finger domain containing 1	Homo sapiens	human	PROTEIN_CODING	17	25898	NCBI Ortholog
259232	NALCN	sodium leak channel, non-selective	Homo sapiens	human	PROTEIN_CODING	15	259232	NCBI Ortholog
25932	CLIC4	chloride intracellular channel 4	Homo sapiens	human	PROTEIN_CODING	3	25932	NCBI Ortholog
25953	PNKD	PNKD metallo-beta-lactamase domain containing	Homo sapiens	human	PROTEIN_CODING	7	25953	NCBI Ortholog
26	AOC1	amine oxidase copper containing 1	Homo sapiens	human	PROTEIN_CODING	9	26	NCBI Ortholog
26038	CHD5	chromodomain helicase DNA binding protein 5	Homo sapiens	human	PROTEIN_CODING	1	26038	NCBI Ortholog
26053	AUTS2	activator of transcription and developmental regulator AUTS2	Homo sapiens	human	PROTEIN_CODING	55	26053	NCBI Ortholog
26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1	Homo sapiens	human	PROTEIN_CODING	31	26119	NCBI Ortholog
26137	ZBTB20	zinc finger and BTB domain containing 20	Homo sapiens	human	PROTEIN_CODING	18	26137	NCBI Ortholog
26154	ABCA12	ATP binding cassette subfamily A member 12	Homo sapiens	human	PROTEIN_CODING	5	26154	NCBI Ortholog
26168	SENP3	SUMO specific peptidase 3	Homo sapiens	human	PROTEIN_CODING	1	26168	NCBI Ortholog
2618	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	Homo sapiens	human	PROTEIN_CODING	14	2618	NCBI Ortholog
262	AMD1	adenosylmethionine decarboxylase 1	Homo sapiens	human	PROTEIN_CODING	9	262	NCBI Ortholog
2628	GATM	glycine amidinotransferase	Homo sapiens	human	PROTEIN_CODING	11	2628	NCBI Ortholog
26281	FGF20	fibroblast growth factor 20	Homo sapiens	human	PROTEIN_CODING	1	26281	NCBI Ortholog
2632	GBE1	1,4-alpha-glucan branching enzyme 1	Homo sapiens	human	PROTEIN_CODING	3	2632	NCBI Ortholog
26503	SLC17A5	solute carrier family 17 member 5	Homo sapiens	human	PROTEIN_CODING	13	26503	NCBI Ortholog
26509	MYOF	myoferlin	Homo sapiens	human	PROTEIN_CODING	18	26509	NCBI Ortholog
26574	AATF	apoptosis antagonizing transcription factor	Homo sapiens	human	PROTEIN_CODING	5	26574	NCBI Ortholog
2664	GDI1	GDP dissociation inhibitor 1	Homo sapiens	human	PROTEIN_CODING	1	2664	NCBI Ortholog
26959	HBP1	HMG-box transcription factor 1	Homo sapiens	human	PROTEIN_CODING	16	26959	NCBI Ortholog
27022	FOXD3	forkhead box D3	Homo sapiens	human	PROTEIN_CODING	1	27022	NCBI Ortholog
27030	MLH3	mutL homolog 3	Homo sapiens	human	PROTEIN_CODING	32	27030	NCBI Ortholog
27036	SIGLEC7	sialic acid binding Ig like lectin 7	Homo sapiens	human	PROTEIN_CODING	10	27036	NCBI Ortholog
27165	GLS2	glutaminase 2	Homo sapiens	human	PROTEIN_CODING	6	27165	NCBI Ortholog
27180	SIGLEC9	sialic acid binding Ig like lectin 9	Homo sapiens	human	PROTEIN_CODING	12	27180	NCBI Ortholog
27202	C5AR2	complement C5a receptor 2	Homo sapiens	human	PROTEIN_CODING	3	27202	NCBI Ortholog
27232	GNMT	glycine N-methyltransferase	Homo sapiens	human	PROTEIN_CODING	3	27232	NCBI Ortholog
27235	COQ2	coenzyme Q2, polyprenyltransferase	Homo sapiens	human	PROTEIN_CODING	2	27235	NCBI Ortholog
2731	GLDC	glycine decarboxylase	Homo sapiens	human	PROTEIN_CODING	1	2731	NCBI Ortholog
27338	UBE2S	ubiquitin conjugating enzyme E2 S	Homo sapiens	human	PROTEIN_CODING	3	27338	NCBI Ortholog
27433	TOR2A	torsin family 2 member A	Homo sapiens	human	PROTEIN_CODING	13	27433	NCBI Ortholog
27445	PCLO	piccolo presynaptic cytomatrix protein	Homo sapiens	human	PROTEIN_CODING	13	27445	NCBI Ortholog
2747	GLUD2	glutamate dehydrogenase 2	Homo sapiens	human	PROTEIN_CODING	1	2747	NCBI Ortholog
2774	GNAL	G protein subunit alpha L	Homo sapiens	human	PROTEIN_CODING	7	2774	NCBI Ortholog
279	AMY2A	amylase alpha 2A	Homo sapiens	human	PROTEIN_CODING	2	279	NCBI Ortholog
2806	GOT2	glutamic-oxaloacetic transaminase 2	Homo sapiens	human	PROTEIN_CODING	2	2806	NCBI Ortholog
2822	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	Homo sapiens	human	PROTEIN_CODING	7	2822	NCBI Ortholog
2837	UTS2R	urotensin 2 receptor	Homo sapiens	human	PROTEIN_CODING	2	2837	NCBI Ortholog
284111	SLC13A5	solute carrier family 13 member 5	Homo sapiens	human	PROTEIN_CODING	6	284111	NCBI Ortholog
284403	WDR62	WD repeat domain 62	Homo sapiens	human	PROTEIN_CODING	45	284403	NCBI Ortholog
285362	SUMF1	sulfatase modifying factor 1	Homo sapiens	human	PROTEIN_CODING	24	285362	NCBI Ortholog
286077	FAM83H	family with sequence similarity 83 member H	Homo sapiens	human	PROTEIN_CODING	1	286077	NCBI Ortholog
2863	GPR39	G protein-coupled receptor 39	Homo sapiens	human	PROTEIN_CODING	1	2863	NCBI Ortholog
2870	GRK6	G protein-coupled receptor kinase 6	Homo sapiens	human	PROTEIN_CODING	12	2870	NCBI Ortholog
2877	GPX2	glutathione peroxidase 2	Homo sapiens	human	PROTEIN_CODING	4	2877	NCBI Ortholog
2897	GRIK1	glutamate ionotropic receptor kainate type subunit 1	Homo sapiens	human	PROTEIN_CODING	14	2897	NCBI Ortholog
28982	FLVCR1	FLVCR choline and heme transporter 1	Homo sapiens	human	PROTEIN_CODING	16	28982	NCBI Ortholog
28999	KLF15	KLF transcription factor 15	Homo sapiens	human	PROTEIN_CODING	9	28999	NCBI Ortholog
2906	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D	Homo sapiens	human	PROTEIN_CODING	2	2906	NCBI Ortholog
29071	C1GALT1C1	C1GALT1 specific chaperone 1	Homo sapiens	human	PROTEIN_CODING	2	29071	NCBI Ortholog
2909	ARHGAP35	Rho GTPase activating protein 35	Homo sapiens	human	PROTEIN_CODING	5	2909	NCBI Ortholog
29119	CTNNA3	catenin alpha 3	Homo sapiens	human	PROTEIN_CODING	17	29119	NCBI Ortholog
2912	GRM2	glutamate metabotropic receptor 2	Homo sapiens	human	PROTEIN_CODING	26	2912	NCBI Ortholog
29123	ANKRD11	ankyrin repeat domain containing 11	Homo sapiens	human	PROTEIN_CODING	4	29123	NCBI Ortholog
29124	LGALS13	galectin 13	Homo sapiens	human	PROTEIN_CODING	5	29124	NCBI Ortholog
2935	GSPT1	G1 to S phase transition 1	Homo sapiens	human	PROTEIN_CODING	9	2935	NCBI Ortholog
2937	GSS	glutathione synthetase	Homo sapiens	human	PROTEIN_CODING	3	2937	NCBI Ortholog
2946	GSTM2	glutathione S-transferase mu 2	Homo sapiens	human	PROTEIN_CODING	7	2946	NCBI Ortholog
2963	GTF2F2	general transcription factor IIF subunit 2	Homo sapiens	human	PROTEIN_CODING	7	2963	NCBI Ortholog
2966	GTF2H2	general transcription factor IIH subunit 2	Homo sapiens	human	PROTEIN_CODING	33	2966	NCBI Ortholog
2968	GTF2H4	general transcription factor IIH subunit 4	Homo sapiens	human	PROTEIN_CODING	1	2968	NCBI Ortholog
2972	BRF1	BRF1 RNA polymerase III transcription initiation factor subunit	Homo sapiens	human	PROTEIN_CODING	35	2972	NCBI Ortholog
2978	GUCA1A	guanylate cyclase activator 1A	Homo sapiens	human	PROTEIN_CODING	1	2978	NCBI Ortholog
2982	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1	Homo sapiens	human	PROTEIN_CODING	31	2982	NCBI Ortholog
29883	CNOT7	CCR4-NOT transcription complex subunit 7	Homo sapiens	human	PROTEIN_CODING	24	29883	NCBI Ortholog
29914	UBIAD1	UbiA prenyltransferase domain containing 1	Homo sapiens	human	PROTEIN_CODING	5	29914	NCBI Ortholog
2995	GYPC	glycophorin C (Gerbich blood group)	Homo sapiens	human	PROTEIN_CODING	7	2995	NCBI Ortholog
29997	NOP53	NOP53 ribosome biogenesis factor	Homo sapiens	human	PROTEIN_CODING	1	29997	NCBI Ortholog
30008	EFEMP2	EGF containing fibulin extracellular matrix protein 2	Homo sapiens	human	PROTEIN_CODING	2	30008	NCBI Ortholog
3008	H1-4	H1.4 linker histone, cluster member	Homo sapiens	human	PROTEIN_CODING	1	3008	NCBI Ortholog
3018	H2BC3	H2B clustered histone 3	Homo sapiens	human	PROTEIN_CODING	1	3018	NCBI Ortholog
3069	HDLBP	high density lipoprotein binding protein	Homo sapiens	human	PROTEIN_CODING	45	3069	NCBI Ortholog
3081	HGD	homogentisate 1,2-dioxygenase	Homo sapiens	human	PROTEIN_CODING	15	3081	NCBI Ortholog
30813	VSX1	visual system homeobox 1	Homo sapiens	human	PROTEIN_CODING	13	30813	NCBI Ortholog
30817	ADGRE2	adhesion G protein-coupled receptor E2	Homo sapiens	human	PROTEIN_CODING	51	30817	NCBI Ortholog
3093	UBE2K	ubiquitin conjugating enzyme E2 K	Homo sapiens	human	PROTEIN_CODING	12	3093	NCBI Ortholog
3111	HLA-DOA	major histocompatibility complex, class II, DO alpha	Homo sapiens	human	PROTEIN_CODING	1	3111	NCBI Ortholog
3118	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	Homo sapiens	human	PROTEIN_CODING	1	3118	NCBI Ortholog
3141	HLCS	holocarboxylase synthetase	Homo sapiens	human	PROTEIN_CODING	24	3141	NCBI Ortholog
3149	HMGB3	high mobility group box 3	Homo sapiens	human	PROTEIN_CODING	8	3149	NCBI Ortholog
3150	HMGN1	high mobility group nucleosome binding domain 1	Homo sapiens	human	PROTEIN_CODING	5	3150	NCBI Ortholog
3151	HMGN2	high mobility group nucleosomal binding domain 2	Homo sapiens	human	PROTEIN_CODING	1	3151	NCBI Ortholog
3155	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Homo sapiens	human	PROTEIN_CODING	2	3155	NCBI Ortholog
3195	TLX1	T cell leukemia homeobox 1	Homo sapiens	human	PROTEIN_CODING	4	3195	NCBI Ortholog
3215	HOXB5	homeobox B5	Homo sapiens	human	PROTEIN_CODING	1	3215	NCBI Ortholog
3236	HOXD10	homeobox D10	Homo sapiens	human	PROTEIN_CODING	1	3236	NCBI Ortholog
3257	HPS1	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1	Homo sapiens	human	PROTEIN_CODING	38	3257	NCBI Ortholog
3298	HSF2	heat shock transcription factor 2	Homo sapiens	human	PROTEIN_CODING	3	3298	NCBI Ortholog
3347	HTN3	histatin 3	Homo sapiens	human	PROTEIN_CODING	1	3347	NCBI Ortholog
3364	HUS1	HUS1 checkpoint clamp component	Homo sapiens	human	PROTEIN_CODING	3	3364	NCBI Ortholog
3376	IARS1	isoleucyl-tRNA synthetase 1	Homo sapiens	human	PROTEIN_CODING	22	3376	NCBI Ortholog
3381	IBSP	integrin binding sialoprotein	Homo sapiens	human	PROTEIN_CODING	1	3381	NCBI Ortholog
338442	HCAR2	hydroxycarboxylic acid receptor 2	Homo sapiens	human	PROTEIN_CODING	1	338442	NCBI Ortholog
340419	RSPO2	R-spondin 2	Homo sapiens	human	PROTEIN_CODING	3	340419	NCBI Ortholog
3431	SP110	SP110 nuclear body protein	Homo sapiens	human	PROTEIN_CODING	26	3431	NCBI Ortholog
3437	IFIT3	interferon induced protein with tetratricopeptide repeats 3	Homo sapiens	human	PROTEIN_CODING	4	3437	NCBI Ortholog
3483	IGFALS	insulin like growth factor binding protein acid labile subunit	Homo sapiens	human	PROTEIN_CODING	3	3483	NCBI Ortholog
35	ACADS	acyl-CoA dehydrogenase short chain	Homo sapiens	human	PROTEIN_CODING	2	35	NCBI Ortholog
3581	IL9R	interleukin 9 receptor	Homo sapiens	human	PROTEIN_CODING	45	3581	NCBI Ortholog
3590	IL11RA	interleukin 11 receptor subunit alpha	Homo sapiens	human	PROTEIN_CODING	2	3590	NCBI Ortholog
3597	IL13RA1	interleukin 13 receptor subunit alpha 1	Homo sapiens	human	PROTEIN_CODING	3	3597	NCBI Ortholog
3619	INCENP	inner centromere protein	Homo sapiens	human	PROTEIN_CODING	14	3619	NCBI Ortholog
3622	ING2	inhibitor of growth family member 2	Homo sapiens	human	PROTEIN_CODING	4	3622	NCBI Ortholog
364	AQP7	aquaporin 7	Homo sapiens	human	PROTEIN_CODING	12	364	NCBI Ortholog
369	ARAF	A-Raf proto-oncogene, serine/threonine kinase	Homo sapiens	human	PROTEIN_CODING	3	369	NCBI Ortholog
3709	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	Homo sapiens	human	PROTEIN_CODING	13	3709	NCBI Ortholog
3713	IVL	involucrin	Homo sapiens	human	PROTEIN_CODING	1	3713	NCBI Ortholog
3720	JARID2	jumonji and AT-rich interaction domain containing 2	Homo sapiens	human	PROTEIN_CODING	39	3720	NCBI Ortholog
375033	PEAR1	platelet endothelial aggregation receptor 1	Homo sapiens	human	PROTEIN_CODING	24	375033	NCBI Ortholog
375611	SLC26A5	solute carrier family 26 member 5	Homo sapiens	human	PROTEIN_CODING	16	375611	NCBI Ortholog
375704	ENHO	energy homeostasis associated	Homo sapiens	human	PROTEIN_CODING	1	375704	NCBI Ortholog
3760	KCNJ3	potassium inwardly rectifying channel subfamily J member 3	Homo sapiens	human	PROTEIN_CODING	4	3760	NCBI Ortholog
3763	KCNJ6	potassium inwardly rectifying channel subfamily J member 6	Homo sapiens	human	PROTEIN_CODING	1	3763	NCBI Ortholog
3764	KCNJ8	potassium inwardly rectifying channel subfamily J member 8	Homo sapiens	human	PROTEIN_CODING	1	3764	NCBI Ortholog
3808	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3	Homo sapiens	human	PROTEIN_CODING	4	NA	
3833	KIFC1	kinesin family member C1	Homo sapiens	human	PROTEIN_CODING	17	3833	NCBI Ortholog
3860	KRT13	keratin 13	Homo sapiens	human	PROTEIN_CODING	2	3860	NCBI Ortholog
3895	KTN1	kinectin 1	Homo sapiens	human	PROTEIN_CODING	55	3895	NCBI Ortholog
391	RHOG	ras homolog family member G	Homo sapiens	human	PROTEIN_CODING	3	391	NCBI Ortholog
3910	LAMA4	laminin subunit alpha 4	Homo sapiens	human	PROTEIN_CODING	17	3910	NCBI Ortholog
3913	LAMB2	laminin subunit beta 2	Homo sapiens	human	PROTEIN_CODING	3	3913	NCBI Ortholog
3933	LCN1	lipocalin 1	Homo sapiens	human	PROTEIN_CODING	8	3933	NCBI Ortholog
3954	LETM1	leucine zipper and EF-hand containing transmembrane protein 1	Homo sapiens	human	PROTEIN_CODING	6	3954	NCBI Ortholog
3957	LGALS2	galectin 2	Homo sapiens	human	PROTEIN_CODING	1	3957	NCBI Ortholog
3960	LGALS4	galectin 4	Homo sapiens	human	PROTEIN_CODING	4	3960	NCBI Ortholog
3985	LIMK2	LIM domain kinase 2	Homo sapiens	human	PROTEIN_CODING	3	3985	NCBI Ortholog
399	RHOH	ras homolog family member H	Homo sapiens	human	PROTEIN_CODING	19	399	NCBI Ortholog
400916	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	Homo sapiens	human	PROTEIN_CODING	4	400916	NCBI Ortholog
